topology,workload,meander_density,n_edges,max_degree,total_route_length_mm,longest_route_mm,crossings,drc_violations,drc_notes,crosstalk_proxy,workload_mismatch,min_est_qw_freq_ghz,avg_est_qw_freq_ghz,input_pitch_mm,norm_total_route_length_mm,norm_longest_route_mm,norm_crossings,norm_drc_violations,norm_crosstalk_proxy,norm_workload_mismatch,cost
star,GHZ,1,4,4,7.48,1.8700000000000003,0,0,PASS,1.2,0.0,16.36226717546249,16.362267175462495,1.7,0.1955555555555556,0.26279863481228666,0.0,0.0,0.7499999999999999,0.0,0.1910309063329541
ring,GHZ,0,5,2,12.5,2.5000000000000004,0,0,PASS,0.0,0.5,12.238975847245944,12.238975847245944,2.5,0.5142857142857143,0.477815699658703,0.0,0.0,0.0,0.3333333333333333,0.19119616447261498
linear,GHZ,1,4,2,9.240000000000002,2.3100000000000005,0,0,PASS,0.2,1.5,13.24564485632678,13.24564485632678,2.1,0.30730158730158746,0.4129692832764505,0.0,0.0,0.125,1.0,0.19215570995178505
linear,GHZ,0,4,2,10.0,2.5,0,0,PASS,0.0,1.5,12.238975847245946,12.238975847245946,2.5,0.35555555555555557,0.47781569965870285,0.0,0.0,0.0,1.0,0.19278346605991653
ring,GHZ,1,5,2,11.550000000000002,2.310000000000001,0,0,PASS,0.25,0.5,13.245644856326777,13.24564485632678,2.1,0.45396825396825413,0.41296928327645066,0.0,0.0,0.15625,0.3333333333333333,0.19284320995178508
linear,GHZ,3,4,2,7.800000000000001,1.9500000000000002,0,0,PASS,0.6000000000000001,1.5,15.690994675956341,15.690994675956341,1.5,0.2158730158730159,0.2901023890784982,0.0,0.0,0.37500000000000006,1.0,0.19293996153637794
star,GHZ,0,4,4,8.4,2.1,0,0,PASS,1.0,0.0,14.570209341959458,14.570209341959458,2.1,0.253968253968254,0.3412969283276449,0.0,0.0,0.625,0.0,0.19573819004279755
ring,GHZ,3,5,2,9.75,1.9500000000000002,0,0,PASS,0.75,0.5,15.690994675956341,15.690994675956343,1.5,0.3396825396825397,0.2901023890784982,0.0,0.0,0.46875,0.3333333333333333,0.19843103296494935
star,GHZ,2,4,4,7.199999999999999,1.7999999999999998,0,0,PASS,1.4,0.0,16.99857756561937,16.99857756561937,1.5,0.17777777777777773,0.23890784982935137,0.0,0.0,0.8749999999999999,0.0,0.20264173302995822
linear,GHZ,2,4,2,9.12,2.28,0,0,PASS,0.4,1.5,13.419929657067925,13.419929657067925,1.9,0.29968253968253966,0.40273037542662093,0.0,0.0,0.25,1.0,0.20784606425050106
star,GHZ,3,4,4,6.760000000000001,1.6900000000000002,0,0,PASS,1.6,0.0,18.1049938568727,18.1049938568727,1.3,0.1498412698412699,0.20136518771331052,0.0,0.0,1.0,0.0,0.21017303212525054
ring,GHZ,2,5,2,11.399999999999999,2.28,0,0,PASS,0.5,0.5,13.419929657067925,13.419929657067925,1.9,0.44444444444444436,0.40273037542662093,0.0,0.0,0.3125,0.3333333333333333,0.21284011186954868
linear,GHZ,0,4,2,10.8,2.7,0,0,PASS,0.0,1.5,11.332385043746246,11.332385043746246,2.7,0.4063492063492064,0.5460750853242319,0.0,0.0,0.0,1.0,0.21318110406847607
star,GHZ,1,4,4,8.36,2.09,0,0,PASS,1.2,0.0,14.639923262255918,14.639923262255918,1.9,0.2514285714285714,0.3378839590443684,0.0,0.0,0.7499999999999999,0.0,0.2134683081423695
ring,GHZ,0,5,2,13.500000000000002,2.7000000000000006,0,0,PASS,0.0,0.5,11.332385043746244,11.332385043746246,2.7,0.577777777777778,0.5460750853242321,0.0,0.0,0.0,0.3333333333333333,0.21413348502085705
linear,GHZ,1,4,2,10.12,2.53,0,0,PASS,0.2,1.5,12.093849651428803,12.093849651428803,2.3,0.36317460317460315,0.48805460750853213,0.0,0.0,0.125,1.0,0.21459311176120044
star,GHZ,0,4,4,9.2,2.3,0,0,PASS,1.0,0.0,13.303234616571682,13.303234616571682,2.3,0.30476190476190473,0.4095563139931738,0.0,0.0,0.625,0.0,0.21613582805135703
ring,GHZ,1,5,2,12.649999999999999,2.5300000000000007,0,0,PASS,0.25,0.5,12.0938496514288,12.093849651428803,2.3,0.5238095238095237,0.48805460750853247,0.0,0.0,0.15625,0.3333333333333333,0.2180742625548513
linear,GHZ,3,4,2,8.84,2.21,0,0,PASS,0.6000000000000001,1.5,13.84499530231442,13.84499530231442,1.7,0.2819047619047619,0.3788395904436858,0.0,0.0,0.37500000000000006,1.0,0.21945689094750526
star,GHZ,2,4,4,8.16,2.04,0,0,PASS,1.4,0.0,14.99874491084062,14.99874491084062,1.7,0.23873015873015874,0.32081911262798624,0.0,0.0,0.8749999999999999,0.0,0.22711889864022966
ring,GHZ,3,5,2,11.05,2.2100000000000004,0,0,PASS,0.75,0.5,13.844995302314414,13.84499530231442,1.7,0.4222222222222223,0.378839590443686,0.0,0.0,0.46875,0.3333333333333333,0.22824954967766403
linear,GHZ,2,4,2,10.08,2.52,0,0,PASS,0.4,1.5,12.14184111829955,12.14184111829955,2.1,0.36063492063492064,0.4846416382252558,0.0,0.0,0.25,1.0,0.23232322986077253
star,GHZ,1,4,4,9.240000000000002,2.3100000000000005,0,0,PASS,1.2,0.0,13.24564485632678,13.24564485632678,2.1,0.30730158730158746,0.4129692832764505,0.0,0.0,0.7499999999999999,0.0,0.23590570995178506
star,GHZ,0,4,4,10.0,2.5000000000000004,0,0,PASS,1.0,0.0,12.238975847245944,12.238975847245946,2.5,0.35555555555555557,0.477815699658703,0.0,0.0,0.625,0.0,0.23653346605991654
star,GHZ,3,4,4,7.800000000000001,1.9500000000000002,0,0,PASS,1.6,0.0,15.690994675956341,15.690994675956343,1.5,0.2158730158730159,0.2901023890784982,0.0,0.0,1.0,0.0,0.23668996153637792
linear,GHZ,1,4,2,11.0,2.75,0,0,PASS,0.2,1.5,11.126341679314496,11.126341679314496,2.5,0.41904761904761906,0.563139931740614,0.0,0.0,0.125,1.0,0.23703051357061589
ring,GHZ,0,5,2,14.499999999999998,2.9,0,0,PASS,0.0,0.5,10.550841247625817,10.550841247625817,2.9,0.6412698412698412,0.6143344709897608,0.0,0.0,0.0,0.3333333333333333,0.23707080556909904
ring,GHZ,2,5,2,12.6,2.5200000000000005,0,0,PASS,0.5,0.5,12.141841118299547,12.14184111829955,2.1,0.5206349206349207,0.4846416382252559,0.0,0.0,0.3125,0.3333333333333333,0.2403648965274392
ring,GHZ,1,5,2,13.750000000000002,2.750000000000001,0,0,PASS,0.25,0.5,11.126341679314491,11.126341679314494,2.5,0.5936507936507938,0.5631399317406144,0.0,0.0,0.15625,0.3333333333333333,0.2433053151579176
linear,GHZ,3,4,2,9.879999999999999,2.4699999999999998,0,0,PASS,0.6000000000000001,1.5,12.387627375755006,12.387627375755006,1.9,0.3479365079365079,0.46757679180887346,0.0,0.0,0.37500000000000006,1.0,0.24597382035863258
star,GHZ,2,4,4,9.12,2.28,0,0,PASS,1.4,0.0,13.419929657067925,13.419929657067925,1.9,0.29968253968253966,0.40273037542662093,0.0,0.0,0.8749999999999999,0.0,0.2515960642505011
linear,GHZ,2,4,2,11.04,2.76,0,0,PASS,0.4,1.5,11.086028847143067,11.086028847143067,2.3,0.42158730158730157,0.5665529010238904,0.0,0.0,0.25,1.0,0.2568003954710439
star,GHZ,0,4,4,10.8,2.7,0,0,PASS,1.0,0.0,11.332385043746246,11.332385043746246,2.7,0.4063492063492064,0.5460750853242319,0.0,0.0,0.625,0.0,0.2569311040684761
ring,GHZ,3,5,2,12.349999999999998,2.4699999999999998,0,0,PASS,0.75,0.5,12.387627375755006,12.387627375755006,1.9,0.5047619047619046,0.46757679180887346,0.0,0.0,0.46875,0.3333333333333333,0.2580680663903786
star,GHZ,1,4,4,10.12,2.53,0,0,PASS,1.2,0.0,12.093849651428803,12.093849651428803,2.3,0.36317460317460315,0.48805460750853213,0.0,0.0,0.7499999999999999,0.0,0.25834311176120045
linear,GHZ,1,4,2,11.880000000000003,2.9700000000000006,0,0,PASS,0.2,1.5,10.302168221587493,10.302168221587493,2.7,0.47492063492063513,0.6382252559726962,0.0,0.0,0.125,1.0,0.25946791538003144
ring,GHZ,0,5,2,15.5,3.1000000000000005,0,0,PASS,0.0,0.5,9.870141812295117,9.870141812295119,3.1,0.7047619047619048,0.68259385665529,0.0,0.0,0.0,0.3333333333333333,0.26000812611734114
star,GHZ,3,4,4,8.84,2.2100000000000004,0,0,PASS,1.6,0.0,13.844995302314414,13.844995302314418,1.7,0.2819047619047619,0.378839590443686,0.0,0.0,1.0,0.0,0.26320689094750527
ring,GHZ,2,5,2,13.799999999999999,2.7600000000000002,0,0,PASS,0.5,0.5,11.086028847143066,11.086028847143067,2.3,0.5968253968253968,0.5665529010238907,0.0,0.0,0.3125,0.3333333333333333,0.26788968118532963
ring,GHZ,1,5,2,14.850000000000003,2.970000000000001,0,0,PASS,0.25,0.5,10.302168221587491,10.302168221587493,2.7,0.6634920634920638,0.6382252559726963,0.0,0.0,0.15625,0.3333333333333333,0.2685363677609839
linear,GHZ,3,4,2,10.920000000000002,2.7300000000000004,0,0,PASS,0.6000000000000001,1.5,11.207853339968812,11.207853339968812,2.1,0.4139682539682541,0.5563139931740614,0.0,0.0,0.37500000000000006,1.0,0.27249074976976
star,GHZ,2,4,4,10.08,2.52,0,0,PASS,1.4,0.0,12.14184111829955,12.14184111829955,2.1,0.36063492063492064,0.4846416382252558,0.0,0.0,0.8749999999999999,0.0,0.2760732298607725
star,GHZ,0,4,4,11.6,2.9000000000000004,0,0,PASS,1.0,0.0,10.550841247625815,10.550841247625817,2.9,0.45714285714285713,0.614334470989761,0.0,0.0,0.625,0.0,0.27732874207703556
star,GHZ,1,4,4,11.0,2.750000000000001,0,0,PASS,1.2,0.0,11.126341679314491,11.126341679314494,2.5,0.41904761904761906,0.5631399317406144,0.0,0.0,0.7499999999999999,0.0,0.28078051357061595
linear,GHZ,2,4,2,12.0,3.0,0,0,PASS,0.4,1.5,10.199146539371622,10.199146539371622,2.5,0.48253968253968255,0.6484641638225254,0.0,0.0,0.25,1.0,0.28127756108131535
ring,GHZ,3,5,2,13.650000000000002,2.730000000000001,0,0,PASS,0.75,0.5,11.20785333996881,11.207853339968812,2.1,0.5873015873015874,0.5563139931740615,0.0,0.0,0.46875,0.3333333333333333,0.2878865831030934
star,GHZ,3,4,4,9.879999999999999,2.4699999999999998,0,0,PASS,1.6,0.0,12.387627375755006,12.387627375755006,1.9,0.3479365079365079,0.46757679180887346,0.0,0.0,1.0,0.0,0.2897238203586326
ring,GHZ,1,5,2,15.95,3.19,0,0,PASS,0.25,0.5,9.591673861478014,9.591673861478014,2.9,0.7333333333333334,0.7133105802047779,0.0,0.0,0.15625,0.3333333333333333,0.29376742036405007
ring,GHZ,2,5,2,15.0,3.0000000000000004,0,0,PASS,0.5,0.5,10.19914653937162,10.199146539371622,2.5,0.6730158730158731,0.6484641638225255,0.0,0.0,0.3125,0.3333333333333333,0.2954144658432201
star,GHZ,0,4,4,12.399999999999999,3.1,0,0,PASS,1.0,0.0,9.870141812295117,9.870141812295117,3.1,0.5079365079365079,0.6825938566552898,0.0,0.0,0.625,0.0,0.29772638008559504
linear,GHZ,3,4,2,11.959999999999999,2.9899999999999998,0,0,PASS,0.6000000000000001,1.5,10.23325739736283,10.23325739736283,2.3,0.48,0.6450511945392489,0.0,0.0,0.37500000000000006,1.0,0.29900767918088733
star,GHZ,2,4,4,11.04,2.76,0,0,PASS,1.4,0.0,11.086028847143067,11.086028847143067,2.3,0.42158730158730157,0.5665529010238904,0.0,0.0,0.8749999999999999,0.0,0.30055039547104384
star,GHZ,1,4,4,11.880000000000003,2.9700000000000006,0,0,PASS,1.2,0.0,10.302168221587493,10.302168221587493,2.7,0.47492063492063513,0.6382252559726962,0.0,0.0,0.7499999999999999,0.0,0.30321791538003146
linear,GHZ,2,4,2,12.96,3.24,0,0,PASS,0.4,1.5,9.443654203121872,9.443654203121872,2.7,0.5434920634920636,0.7303754266211602,0.0,0.0,0.25,1.0,0.3057547266915867
star,GHZ,3,4,4,10.920000000000002,2.7300000000000004,0,0,PASS,1.6,0.0,11.207853339968812,11.207853339968812,2.1,0.4139682539682541,0.5563139931740614,0.0,0.0,1.0,0.0,0.31624074976976
ring,GHZ,3,5,2,14.95,2.9900000000000007,0,0,PASS,0.75,0.5,10.233257397362829,10.23325739736283,2.3,0.6698412698412699,0.6450511945392491,0.0,0.0,0.46875,0.3333333333333333,0.317705099815808
ring,GHZ,1,5,2,17.05,3.410000000000001,0,0,PASS,0.25,0.5,8.97285619299556,8.972856192995561,3.1,0.8031746031746033,0.7883959044368601,0.0,0.0,0.15625,0.3333333333333333,0.31899847296711636
ring,GHZ,2,5,2,16.200000000000003,3.2400000000000007,0,0,PASS,0.5,0.5,9.44365420312187,9.443654203121872,2.7,0.7492063492063494,0.7303754266211604,0.0,0.0,0.3125,0.3333333333333333,0.3229392505011106
star,GHZ,2,4,4,12.0,3.0000000000000004,0,0,PASS,1.4,0.0,10.19914653937162,10.199146539371622,2.5,0.48253968253968255,0.6484641638225255,0.0,0.0,0.8749999999999999,0.0,0.3250275610813153
linear,GHZ,3,4,2,13.0,3.25,0,0,PASS,0.6000000000000001,1.5,9.414596805573805,9.414596805573805,2.5,0.5460317460317461,0.7337883959044366,0.0,0.0,0.37500000000000006,1.0,0.3255246085920147
